backend,N_shots,p1_medido,asym,MIS,regimen,modelo_preferido,delta_AIC,p0_born,p0_modular,p1_born,p1_modular
ibm_fez,100000,0.49802,0.00396,0.00396,KMS_BALANCED,EMPATE,-0.43,0.5,0.50198,0.5,0.49802
ibm_fez,100000,0.49885,0.0023,0.0023,KMS_BALANCED,EMPATE,-1.47,0.5,0.50115,0.5,0.49885
ibm_fez,100000,0.49984,0.00032,0.00032,KMS_BALANCED,EMPATE,-1.99,0.5,0.50016,0.5,0.49984
ibm_fez,100000,0.49605,0.0079,0.0079,KMS_BALANCED,MODULAR,4.24,0.5,0.50395,0.5,0.49605
ibm_fez,100000,0.49702,0.00596,0.00596,KMS_BALANCED,EMPATE,1.55,0.5,0.50298,0.5,0.49702
ibm_fez,2000,0.4695,0.061,0.06108,PERTURBATIVE_NEQ,MODULAR,5.45,0.5,0.5305,0.5,0.4695
ibm_fez,2000,0.4825,0.035,0.03501,PERTURBATIVE_NEQ,EMPATE,0.45,0.5,0.5175,0.5,0.4825
ibm_marrakesh,2000,0.514,0.028,0.02801,PERTURBATIVE_NEQ,EMPATE,-0.43,0.5,0.486,0.5,0.514
